Valor,Companhia Aérea,Horário de Voo,Dia da Semana Ida,Dias de Viagem,Data Ida
1462.0,Ethiopian Airlines,17:00,Seg,9, 21 Nov 2022 
1462.0,Ethiopian Airlines,17:00,Sáb,4, 26 Nov 2022 
1487.0,Ethiopian Airlines,17:30,Seg,9, 22 Ago 2022 
1487.0,Ethiopian Airlines,17:30,Seg,9, 29 Ago 2022 
1487.0,Ethiopian Airlines,17:30,Qua,7, 31 Ago 2022 
1519.0,Ethiopian Airlines,17:30,Qua,7, 26 Out 2022 
1532.0,Ethiopian Airlines,17:00,Seg,23, 7 Nov 2022 
1532.0,Ethiopian Airlines,17:00,Qua,5, 30 Nov 2022 
1532.0,Ethiopian Airlines,17:00,Sáb,23, 17 Dez 2022 
1532.0,Ethiopian Airlines,17:00,Sáb,25, 17 Dez 2022 
1532.0,Ethiopian Airlines,17:00,Qua,14, 28 Dez 2022 
1540.0,Ethiopian Airlines,17:30,Sáb,4, 3 Set 2022 
1540.0,Ethiopian Airlines,17:30,Sáb,4, 15 Out 2022 
1540.0,Ethiopian Airlines,17:30,Sáb,7, 15 Out 2022 
1540.0,Ethiopian Airlines,17:30,Seg,19, 17 Out 2022 
1540.0,Ethiopian Airlines,17:30,Qua,14, 19 Out 2022 
1540.0,Ethiopian Airlines,17:30,Seg,9, 24 Out 2022 
1540.0,Ethiopian Airlines,17:30,Qua,14, 26 Out 2022 
1540.0,Ethiopian Airlines,17:30,Sáb,4, 29 Out 2022 
1540.0,Ethiopian Airlines,17:30,Sáb,7, 29 Out 2022 
1555.0,Ethiopian Airlines,17:30,Qua,10, 24 Ago 2022 
1555.0,Ethiopian Airlines,17:30,Sáb,9, 27 Ago 2022 
1561.0,Ethiopian Airlines,17:00,Qua,3, 2 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Qua,14, 2 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Qua,7, 2 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Seg,9, 7 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Sáb,4, 12 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Seg,9, 14 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Seg,7, 21 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Qua,7, 23 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Sáb,7, 26 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Seg,14, 28 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Seg,9, 28 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Seg,7, 28 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Qua,7, 30 Nov 2022 
1561.0,Ethiopian Airlines,17:00,Qua,14, 21 Dez 2022 
1561.0,Ethiopian Airlines,17:00,Sáb,11, 24 Dez 2022 
1561.0,Ethiopian Airlines,17:00,Sáb,14, 24 Dez 2022 
1561.0,Ethiopian Airlines,17:00,Qua,7, 28 Dez 2022 
1563.0,Ethiopian Airlines,17:30,Qua,14, 10 Ago 2022 
1563.0,Ethiopian Airlines,17:30,Seg,7, 22 Ago 2022 
1586.0,Ethiopian Airlines,17:30,Sáb,28, 6 Ago 2022 
1586.0,Ethiopian Airlines,17:30,Sáb,4, 20 Ago 2022 
1586.0,Ethiopian Airlines,17:30,Sáb,7, 20 Ago 2022 
1586.0,Ethiopian Airlines,17:30,Seg,5, 22 Ago 2022 
1606.0,Ethiopian Airlines,17:30,Qua,7, 4 Mai 2022 
1608.0,Ethiopian Airlines,17:30,Seg,28, 3 Out 2022 
1608.0,Ethiopian Airlines,17:30,Seg,14, 10 Out 2022 
1616.0,Ethiopian Airlines,17:30,Sáb,7, 3 Set 2022 
1616.0,Ethiopian Airlines,17:30,Seg,9, 5 Set 2022 
1616.0,Ethiopian Airlines,17:30,Sáb,7, 17 Set 2022 
1616.0,Ethiopian Airlines,17:30,Seg,5, 3 Out 2022 
1616.0,Ethiopian Airlines,17:30,Seg,7, 24 Out 2022 
1626.0,British Airways,07:15,Dom,5, 29 Mai 2022 
1629.0,Ethiopian Airlines,17:00,Sáb,28, 5 Nov 2022 
